epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,759.343,0.56171,0.32834,0.87814,0.97916,0.96571,0.98009,0.73869,0.9891,0.44449,1.04833,0.000117079,0.000117079,0.000117079
90,767.829,0.55153,0.33101,0.88259,0.96403,0.96569,0.97982,0.73398,0.99973,0.43722,1.05498,0.00010808,0.00010808,0.00010808
91,790.549,0.53091,0.29399,0.86277,0.97037,0.96646,0.97718,0.71889,1.03018,0.44467,1.06668,9.9081e-05,9.9081e-05,9.9081e-05
92,798.701,0.49656,0.27598,0.83949,0.96817,0.9594,0.98129,0.7201,1.04364,0.45035,1.07896,9.00819e-05,9.00819e-05,9.00819e-05
93,806.924,0.48347,0.27067,0.8448,0.96385,0.96599,0.98359,0.72365,1.02935,0.45165,1.06737,8.10828e-05,8.10828e-05,8.10828e-05
94,815.263,0.47762,0.26946,0.84038,0.96412,0.96561,0.98005,0.73424,1.0179,0.45775,1.06274,7.20837e-05,7.20837e-05,7.20837e-05
95,823.569,0.47199,0.26634,0.83965,0.96889,0.96288,0.98142,0.7343,1.00289,0.4566,1.05809,6.30846e-05,6.30846e-05,6.30846e-05
96,831.714,0.47253,0.2703,0.84843,0.96873,0.96148,0.98124,0.73017,1.00078,0.44708,1.05313,5.40855e-05,5.40855e-05,5.40855e-05
97,839.986,0.4646,0.26359,0.84296,0.96905,0.9633,0.9801,0.73004,1.01166,0.44345,1.06611,4.50864e-05,4.50864e-05,4.50864e-05
98,848.264,0.46951,0.26708,0.84119,0.968,0.96515,0.98082,0.73071,1.01084,0.43573,1.06416,3.60873e-05,3.60873e-05,3.60873e-05
99,856.544,0.45942,0.26131,0.84026,0.96786,0.96264,0.97534,0.72656,1.01568,0.44453,1.06643,2.70882e-05,2.70882e-05,2.70882e-05
100,864.803,0.44958,0.25761,0.83847,0.96643,0.96527,0.97921,0.73494,1.0146,0.44964,1.06639,1.80891e-05,1.80891e-05,1.80891e-05
